"estado","candidato","votos","ano","turno","nome","porcentagem"
"Mato Grosso","Luiz Inácio Lula da Silva",76700,1989,"Turno 1","1989 - Luiz Inácio Lula da Silva",10.36
"Goiás","Luiz Inácio Lula da Silva",298261,1989,"Turno 1","1989 - Luiz Inácio Lula da Silva",16.86
"Distrito Federal","Luiz Inácio Lula da Silva",220720,1989,"Turno 1","1989 - Luiz Inácio Lula da Silva",29.06
"Rondônia","Luiz Inácio Lula da Silva",136123,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",36.75
"Acre","Luiz Inácio Lula da Silva",39695,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",30.82
"Amazonas","Luiz Inácio Lula da Silva",197431,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",33.21
"Roraima","Luiz Inácio Lula da Silva",12364,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",23.65
"Pará","Luiz Inácio Lula da Silva",419656,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",27.51
"Amapá","Luiz Inácio Lula da Silva",29926,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",35.75
"Tocantins","Luiz Inácio Lula da Silva",62576,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",21.61
"Maranhão","Luiz Inácio Lula da Silva",521854,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",37.57
"Piauí","Luiz Inácio Lula da Silva",411812,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",41.08
"Ceará","Luiz Inácio Lula da Silva",1119521,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",43.09
"R. G. do Norte","Luiz Inácio Lula da Silva",482465,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",47.41
"Paraíba","Luiz Inácio Lula da Silva",606446,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",45.03
"Pernambuco","Luiz Inácio Lula da Silva",1509085,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",50.9
"Alagoas","Luiz Inácio Lula da Silva",214890,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",23.93
"Sergipe","Luiz Inácio Lula da Silva",208829,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",34.11
"Bahia","Luiz Inácio Lula da Silva",1980907,1989,"Turno 2","1989 - Luiz Inácio Lula da Silva",48.32
